101,Sameer,7,5,15,92
102,Hebtan,16,15,18,70
103,Nabeel,17,16,13,43
104,Afsha,5,15,15,98
105,Zirsha shimdu,13,10,19,47
106,Farhan,16,20,11,65
107,Grace,18,6,7,61
108,Hassan,6,7,6,66
109,Isla,7,20,20,73
110,Jacob,11,13,17,73
111,Khadija,20,11,17,81
112,Liam,7,13,16,76
113,Maria,11,12,11,41
114,Noah,8,12,17,57
115,Olivia,5,10,18,70
116,Peter,16,13,9,65
117,Qasim,8,20,20,53
118,Rania,7,13,6,77
119,Samuel,20,6,18,65
120,Tara,16,12,5,60
121,Usman,11,14,6,81
122,Abbas bhai,5,10,12,44
123,William,7,7,7,92
124,Xenia,10,19,8,77
125,Yusuf,7,12,8,65
126,Zara,16,11,11,89
127,Amir,11,15,6,96
128,Bella,13,17,18,80
129,Chris,8,16,16,55
130,Dania,18,17,18,60
131,Elijah,9,12,11,84
132,Fatima,6,6,20,43
133,George,15,9,20,46
134,Hiba,5,10,19,76
135,Ian,10,19,8,49
136,Jannah,16,15,7,53
137,Kamal,16,12,6,80
138,Layla,9,14,10,46
139,Musa,5,10,13,82
140,Nora,11,13,7,99
141,Omar,5,17,11,65
142,Phoebe,9,5,15,78
143,Quraisha,13,14,6,46
144,Rayyan,10,5,15,45
145,Sara,16,18,8,67
146,Taim,11,5,6,98
147,Urooj,9,18,5,64
148,Vera,20,6,14,54
149,Name48,6,20,5,89
150,Name49,16,14,12,79
